model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,MAGE_LAST_21_24,Yes,0.189,0.128,0.086,0.057,0.056
Adult,MAGE_LAST_25_29,Yes,0.197,0.133,0.088,0.056,0.055
Adult,MAGE_LAST_30_34,Yes,0.23,0.16,0.11,0.073,0.072
Adult,MAGE_LAST_35_39,Yes,0.249,0.174,0.119,0.077,0.076
Adult,MAGE_LAST_40_44,Yes,0.282,0.203,0.143,0.095,0.094
Adult,MAGE_LAST_45_49,Yes,0.312,0.228,0.164,0.112,0.111
Adult,MAGE_LAST_50_54,Yes,0.381,0.29,0.218,0.161,0.16
Adult,MAGE_LAST_55_59,Yes,0.428,0.33,0.254,0.191,0.189
Adult,MAGE_LAST_60_GT,Yes,0.472,0.365,0.282,0.212,0.21
Adult,FAGE_LAST_21_24,Yes,0.285,0.196,0.127,0.078,0.076
Adult,FAGE_LAST_25_29,Yes,0.308,0.212,0.137,0.082,0.081
Adult,FAGE_LAST_30_34,Yes,0.37,0.268,0.188,0.126,0.125
Adult,FAGE_LAST_35_39,Yes,0.428,0.323,0.239,0.174,0.172
Adult,FAGE_LAST_40_44,Yes,0.482,0.372,0.284,0.211,0.209
Adult,FAGE_LAST_45_49,Yes,0.481,0.369,0.277,0.2,0.198
Adult,FAGE_LAST_50_54,Yes,0.519,0.404,0.307,0.226,0.224
Adult,FAGE_LAST_55_59,Yes,0.482,0.368,0.271,0.191,0.189
Adult,FAGE_LAST_60_GT,Yes,0.475,0.358,0.261,0.179,0.176
Adult,HHS_HCC001,Yes,0.342,0.265,0.234,0.197,0.196
Adult,HHS_HCC002,Yes,9.075,8.875,8.83,8.74,8.739
Adult,HHS_HCC003,Yes,8.379,8.276,8.229,8.151,8.149
Adult,HHS_HCC004,Yes,8.328,8.217,8.161,8.071,8.068
Adult,HHS_HCC006,Yes,8.532,8.478,8.419,8.333,8.33
Adult,HHS_HCC008,Yes,23.002,22.629,22.616,22.506,22.506
Adult,HHS_HCC009,Yes,12.575,12.312,12.271,12.156,12.155
Adult,HHS_HCC010,Yes,5.705,5.535,5.473,5.362,5.36
Adult,HHS_HCC011,Yes,3.651,3.476,3.405,3.283,3.28
Adult,HHS_HCC012,Yes,2.424,2.295,2.23,2.129,2.127
Adult,HHS_HCC013,Yes,0.967,0.875,0.785,0.677,0.674
Adult,HHS_HCC018,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC022,Yes,0.311,0.282,0.244,0.18,0.178
Adult,HHS_HCC023,Yes,11.342,11.221,11.179,11.105,11.104
Adult,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC029,Yes,6.512,6.413,6.373,6.305,6.303
